"F_AREA";"scientificName";"LON";"LAT";"YEAR";"occurrenceStatus";"bathymetry"
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"21";"Thunnus alalunga";-66.81;40.65;2002;1;-778.280883789062
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2001;1;-16.25
"21";"Thunnus alalunga";-67.31;40.28;2000;1;-1701.33435058594
"27";"Thunnus alalunga";-29.17895;38.38816667;2013;1;-1041.37097167969
"31";"Thunnus alalunga";-67.4083328247;26.7916660309;2003;1;-4999.7451171875
"31";"Thunnus alalunga";-78.43;28.7;2001;1;-932.252502441406
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"21";"Thunnus alalunga";-74.58;36.85;2000;1;-1139.69152832031
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"27";"Thunnus alalunga";-28.46666667;38.78333333;2000;1;-1008.17279052734
"31";"Thunnus alalunga";-67.53;17.41;2005;1;-3528.19775390625
"21";"Thunnus alalunga";-72.73;38.95;2005;1;-1114.52917480469
"47";"Thunnus alalunga";18.0886001587;-33.4255981445;2001;1;-16.25
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"31";"Thunnus alalunga";-79.25;28.35;2000;1;-829.244995117188
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-73.5;20.33;2001;1;-2318.3125
"47";"Thunnus alalunga";18.231300354;-31.8155002594;2000;1;-16.4274997711182
"31";"Thunnus alalunga";-79.28;28.1;2000;1;-733.307495117188
"34";"Thunnus alalunga";-34.33;29.6;2002;1;-4831.06494140625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"21";"Thunnus alalunga";-71.96;39.46;2002;1;-1128.36889648438
"27";"Thunnus alalunga";-30.3192;37.39385;2012;1;-2093.51147460938
"31";"Thunnus alalunga";-56.03;10.58;2005;1;-4196.67041015625
"21";"Thunnus alalunga";-72.0333366394;39.5249996185;2003;1;-518.094970703125
"47";"Thunnus alalunga";17.1173992157;-29.9335002899;2000;1;-25.2474994659424
"21";"Thunnus alalunga";-70.28;39.85;2001;1;-849.0498046875
"21";"Thunnus alalunga";-71.9;39.36;2001;1;-1352.5888671875
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"31";"Thunnus alalunga";-66.5999984741;27.5416660309;2004;1;-4656.56494140625
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"31";"Thunnus alalunga";-91.96;26.2;2004;1;-2126.59423828125
"31";"Thunnus alalunga";-91.83;26.51;2004;1;-1879.708984375
"31";"Thunnus alalunga";-91.0333328247;26.1916666031;2005;1;-2356.34741210938
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"31";"Thunnus alalunga";-75.21;18.28;2004;1;-940.747497558594
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"27";"Thunnus alalunga";-31.67833333;39.04416667;2012;1;-1050.93505859375
"21";"Thunnus alalunga";-70.81;39.96;2001;1;-416.541687011719
"31";"Thunnus alalunga";-78.15;28.75;2003;1;-973.494995117188
"21";"Thunnus alalunga";-74.36;37.4;2001;1;-1000.25726318359
"31";"Thunnus alalunga";-77.98;28.45;2000;1;-1005.625
"47";"Thunnus alalunga";18.3761005402;-33.7971992493;2001;1;-6.45749998092651
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"21";"Thunnus alalunga";-66.76;40.18;2003;1;-2689.59741210938
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2004;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"21";"Thunnus alalunga";-70.8;39.91;2003;1;-531.766540527344
"21";"Thunnus alalunga";-72;39.41;2001;1;-810.328857421875
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2003;1;-7.59000015258789
"21";"Thunnus alalunga";-67.01;40.55;2002;1;-475.411743164062
"21";"Thunnus alalunga";-71.46;39.86;2003;1;-518.799133300781
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2001;1;-7.59000015258789
"47";"Thunnus alalunga";18.231300354;-31.8155002594;2001;1;-16.4274997711182
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2002;1;-7.59000015258789
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2000;1;-7.59000015258789
"47";"Thunnus alalunga";18.4349994659;-33.9028015137;2005;1;-16.0599994659424
"47";"Thunnus alalunga";18.4972000122;-34.3568992615;2005;1;-7.59000015258789
